nct_id,brief_title,study_type,overall_status,start_date,study_first_post_date,enrollment,lead_sponsor,interventions,countries,has_results,preliminary_screening,screening_reason
NCT03725280,Micro RNA Profile in the Ovarian Follicle Fluid of Transgender Men,OBSERVATIONAL,UNKNOWN,2018-11-01,2018-10-31,40,Tel-Aviv Sourasky Medical Center,IVF,,False,include,Transgender population and GAHT intervention/exposure identified
NCT05663892,Drug-Drug Interaction Study in Trans Women Living With HIV,INTERVENTIONAL,ACTIVE_NOT_RECRUITING,2022-11-23,2022-12-23,45,Maple Leaf Research,Biktarvy 50/200/25 Tab; Estradiol Tablets,Canada,False,include,Transgender population and GAHT intervention/exposure identified
NCT04149028,Platelet Rich Plasma Injection Into Ovary of Patients With Premature Ovarian Insufficiency,INTERVENTIONAL,COMPLETED,2019-12-01,2019-11-04,16,Tanta University,PRP injection inside the ovary by laparoscoy. The injection volume is 2 ml,Egypt,False,exclude,Does not explicitly meet both criteria (Trans population + GAHT)
NCT06496581,Standard of Care +/- 177Lu-PSMA-617 In de Novo mHSPC Patients With Poor PSA Response (PEACE6-Poor Responders),INTERVENTIONAL,RECRUITING,2024-09-12,2024-07-11,500,UNICANCER,177Lu-PMSA-617; Standard of Care,France,False,exclude,Oncology indication not related to transgender health
NCT06221163,Sociological Study of the Life Courses of Young TRANSgender Patients,OBSERVATIONAL,UNKNOWN,2024-04,2024-01-24,30,"Central Hospital, Nancy, France",collection of biographical and sociological data,,False,exclude,Does not explicitly meet both criteria (Trans population + GAHT)
NCT05016349,"Investigating the Potential Role of a Novel Quadrate Combination Therapy Mifepristone(Antiprogestrone), Tamoxifen, Retinoic Acid and Cannabidiol ( Selective Cyp 26 Inhibitor) for Treating Early Breast Cancer.",INTERVENTIONAL,UNKNOWN,2021-08,2021-08-23,160,Mahmoud Ramadan mohamed Elkazzaz,All trans-retinoic acid; 13-Cis Retinoic Acid plus Tocopherol; Mifepristone; Cannabidiol; 9 cis retinoic acid; Tamoxifen; Standard therapy,,False,exclude,Oncology indication not related to transgender health
NCT02018497,Essential Hypotension and Allostasis Registry,OBSERVATIONAL,UNKNOWN,1995-01,2013-12-23,5000,CES University,,Colombia,False,exclude,Does not explicitly meet both criteria (Trans population + GAHT)
NCT02434562,Development and Validation of in Vitro Cell-based Bioassays for Nuclear Receptor Activation,OBSERVATIONAL,COMPLETED,2012-04,2015-05-05,73,Universitaire Ziekenhuizen KU Leuven,Serum (with or without urine) samples,,False,exclude,Does not explicitly meet both criteria (Trans population + GAHT)
NCT06247267,The Effect of Sex Steroid Replacement Therapy in the Hypogonadism and Transgender Active-Duty Population,OBSERVATIONAL,RECRUITING,2021-03-09,2024-02-07,75,Walter Reed National Military Medical Center,Fortesta; Estradiol; Fortesta,United States,False,include,Transgender population and GAHT intervention/exposure identified
NCT03557268,Pubertal Blockade and Hormone Therapy in Transgender Youth,OBSERVATIONAL,COMPLETED,2018-06-19,2018-06-14,19,"University of Colorado, Denver",,United States,False,include,Transgender population and GAHT intervention/exposure identified
NCT05153395,Impact of Intranasal Insulin on Sympathetic Activity and Cerebral Vasodilation,INTERVENTIONAL,SUSPENDED,2021-12-01,2021-12-10,65,University of Missouri-Columbia,Carbon dioxide breathing; Neurovascular Coupling; Human insulin,United States,False,exclude,Does not explicitly meet both criteria (Trans population + GAHT)
NCT06854432,Assessment of Biological and Biometrological Parameters in Adult Subjects with Androgenetic Alopecia,INTERVENTIONAL,TERMINATED,2024-03-05,2025-03-03,46,Pierre Fabre Dermo Cosmetique,Biometrological measurements; Biological sampling,France,False,exclude,Does not explicitly meet both criteria (Trans population + GAHT)
NCT04448418,The Impact of COVID-19 Outbreak on Trans-population's Health in Italy,OBSERVATIONAL,COMPLETED,2020-05-20,2020-06-25,111,Unita Complessa di Ostetricia e Ginecologia,web based survey,Italy,False,exclude,Does not explicitly meet both criteria (Trans population + GAHT)
NCT07394400,"Effects of Gender-Affirming Hormone Therapy on Cardiovascular, Metabolic, and Mental Health Outcomes in Transgender Adults.",OBSERVATIONAL,NOT_YET_RECRUITING,2026-02-14,2026-02-06,94,Milagros Rocha Barajas,,Spain,False,include,Transgender population and GAHT intervention/exposure identified
NCT00962637,Study to Evaluate the Safety and Efficacy of Androxal™ Treatment in Men With Secondary Hypogonadism,INTERVENTIONAL,COMPLETED,2006-03,2009-08-20,194,Repros Therapeutics Inc.,Androxal; Androxal; AndroGel; Placebo,United States,False,exclude,Oncology indication not related to transgender health
NCT03848234,"Estradiol Patch as add-on to Antipsychotics in Patients With Schizophrenia, Schizoaffective or Schizophreniform Disorder",INTERVENTIONAL,COMPLETED,2015-12-04,2019-02-20,209,Tangent Data,Estradiol; Placebo,Moldova,False,exclude,Oncology indication not related to transgender health
